game_id,minute,side,type
2513,90,home,red_card
2516,51,home,red_card
2516,81,away,red_card
2525,86,away,red_card
2534,90,home,red_card
2534,90,away,red_card
2536,57,home,red_card
2539,81,home,red_card
2546,49,away,red_card
2551,20,away,red_card
2554,84,away,red_card
2555,81,away,red_card
2559,90,home,red_card
2560,45,home,red_card
2561,90,away,red_card
2564,90,away,red_card
2565,4,away,red_card
2569,90,away,red_card
2585,25,away,red_card
2596,90,away,red_card
2598,90,away,red_card
2602,86,away,red_card
2604,69,away,red_card
2604,90,away,red_card
2605,88,home,red_card
2605,86,away,red_card
2615,90,home,red_card
2653,60,home,red_card
2658,66,home,red_card
2671,65,away,red_card
2673,90,away,red_card
2682,87,away,red_card
2683,87,away,red_card
2684,57,away,red_card
2688,90,away,red_card
2690,64,away,red_card
2700,43,away,red_card
2700,73,away,red_card
2704,83,home,red_card
2705,66,away,red_card
2706,90,home,red_card
2712,83,away,red_card
2717,89,home,red_card
2717,89,away,red_card
2724,54,home,red_card
2725,65,away,red_card
2729,62,away,red_card
2730,34,away,red_card
2732,25,home,red_card
2732,47,away,red_card
2733,90,home,red_card
2739,76,away,red_card
2740,67,away,red_card
2752,64,away,red_card
2753,65,away,red_card
2753,75,away,red_card
2762,28,away,red_card
2764,40,home,red_card
2765,90,away,red_card
2768,3,home,red_card
2774,89,home,red_card
2785,61,away,red_card
2787,45,away,red_card
2790,90,away,red_card
2797,90,away,red_card
2804,87,home,red_card
2804,8,away,red_card
2806,83,home,red_card
2807,54,away,red_card
2812,73,away,red_card
2814,35,away,red_card
2817,90,home,red_card
2817,90,home,red_card
2818,44,away,red_card
2825,90,home,red_card
2828,80,away,red_card
2833,72,away,red_card
2842,80,home,red_card
2843,69,away,red_card
2846,35,home,red_card
2853,61,home,red_card
2858,3,away,red_card
2872,67,away,red_card
2873,90,home,red_card
2873,88,away,red_card
2879,90,home,red_card
2885,81,away,red_card
2887,90,away,red_card
2895,4,away,red_card
2900,85,home,red_card
2900,90,home,red_card
2904,85,home,red_card
2909,86,home,red_card
2925,80,away,red_card
2926,89,away,red_card
2928,62,away,red_card
2933,69,away,red_card
2933,82,away,red_card
2941,90,home,red_card
2941,90,away,red_card
2948,66,home,red_card
2959,90,home,red_card
2960,73,away,red_card
2962,52,home,red_card
2971,62,away,red_card
2972,71,home,red_card
2972,66,away,red_card
2973,73,away,red_card
2998,78,home,red_card
3015,88,away,red_card
3015,90,away,red_card
3017,84,home,red_card
3018,68,away,red_card
3019,90,away,red_card
3023,90,home,red_card
3033,34,home,red_card
3041,54,home,red_card
3052,79,away,red_card
3054,71,away,red_card
3064,86,home,red_card
3069,57,away,red_card
3079,39,home,red_card
3081,90,away,red_card
3089,88,home,red_card
3103,56,home,red_card
3104,90,home,red_card
3108,82,home,red_card
3114,51,away,red_card
3123,28,away,red_card
3131,80,away,red_card
3132,71,home,red_card
3141,32,home,red_card
3142,47,away,red_card
3144,41,home,red_card
3149,90,home,red_card
3150,90,home,red_card
3160,90,home,red_card
3160,90,away,red_card
3161,25,away,red_card
3166,26,away,red_card
3168,63,home,red_card
3170,58,away,red_card
3175,77,away,red_card
3183,18,away,red_card
3188,79,away,red_card
3189,90,home,red_card
3190,59,away,red_card
3194,45,home,red_card
3194,45,away,red_card
3197,49,home,red_card
3199,53,away,red_card
3199,60,away,red_card
3207,34,away,red_card
3210,82,away,red_card
3221,90,away,red_card
3224,81,home,red_card
3230,83,home,red_card
3251,85,home,red_card
3262,68,home,red_card
3263,90,home,red_card
3273,44,away,red_card
3273,86,away,red_card
3277,52,away,red_card
3278,51,away,red_card
3279,62,away,red_card
3282,73,home,red_card
3282,82,away,red_card
3282,90,away,red_card
3292,36,away,red_card
3300,47,home,red_card
3302,11,home,red_card
3317,48,home,red_card
3318,33,away,red_card
3325,14,away,red_card
3327,35,away,red_card
3332,47,away,red_card
3338,58,away,red_card
3339,38,home,red_card
3339,70,away,red_card
3355,79,home,red_card
3360,34,home,red_card
3360,90,home,red_card
3367,90,away,red_card
3374,73,away,red_card
3385,74,home,red_card
3387,74,home,red_card
3387,45,away,red_card
3388,82,away,red_card
3396,87,away,red_card
3411,34,away,red_card
3416,14,away,red_card
3417,90,home,red_card
3447,69,away,red_card
3450,73,home,red_card
3451,90,home,red_card
3455,90,home,red_card
3456,81,home,red_card
3456,81,away,red_card
3457,55,away,red_card
3459,75,home,red_card
3463,65,away,red_card
3463,77,away,red_card
3467,61,away,red_card
3468,60,home,red_card
3468,65,home,red_card
3473,59,home,red_card
3474,80,away,red_card
3483,80,away,red_card
3491,90,away,red_card
3493,7,home,red_card
3495,76,home,red_card
3508,90,away,red_card
3520,75,away,red_card
3523,36,away,red_card
3527,54,away,red_card
3530,45,home,red_card
3532,82,away,red_card
3538,90,away,red_card
3540,67,away,red_card
3552,35,home,red_card
3556,90,home,red_card
3568,80,away,red_card
3579,55,away,red_card
3580,54,away,red_card
3586,43,away,red_card
3586,48,away,red_card
3594,57,away,red_card
3598,24,home,red_card
3604,82,away,red_card
3609,50,home,red_card
3618,73,away,red_card
3625,47,home,red_card
3627,90,away,red_card
3630,79,home,red_card
3639,90,away,red_card
3644,90,away,red_card
3645,90,home,red_card
3645,88,away,red_card
3651,69,away,red_card
3655,77,home,red_card
3656,74,home,red_card
3656,90,away,red_card
3656,90,away,red_card
3660,62,home,red_card
3660,53,away,red_card
3672,85,away,red_card
3679,82,away,red_card
3689,49,home,red_card
3699,84,home,red_card
3700,76,away,red_card
3701,45,home,red_card
3712,88,away,red_card
3713,79,home,red_card
3714,67,home,red_card
3725,48,home,red_card
3731,29,away,red_card
3735,45,home,red_card
3742,39,away,red_card
3743,30,home,red_card
3744,62,away,red_card
3745,76,away,red_card
3747,72,home,red_card
3778,41,away,red_card
3782,90,home,red_card
3786,51,away,red_card
3791,72,home,red_card
3793,90,home,red_card
3795,60,away,red_card
3799,55,away,red_card
3799,90,away,red_card
3799,90,away,red_card
3803,40,home,red_card
3807,90,home,red_card
3813,90,away,red_card
3819,87,home,red_card
3824,90,away,red_card
3827,41,home,red_card
3828,78,away,red_card
3835,90,home,red_card
3835,58,away,red_card
3837,85,away,red_card
3841,45,away,red_card
3841,83,away,red_card
3844,90,home,red_card
3844,90,away,red_card
3850,54,away,red_card
3872,87,away,red_card
3873,86,away,red_card
3876,85,home,red_card
3876,64,away,red_card
3880,83,home,red_card
3885,60,away,red_card
3889,90,home,red_card
3893,33,home,red_card
3893,84,away,red_card
3906,80,away,red_card
